Gender,Text,Depression
1,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer. You shoulda got David Carr of Third Day to do it. ;D",0
0,is upset that he can't update his Facebook by texting it... and might cry as a result School today also. Blah!,1
0,@Kenichan I dived many times for the ball. Managed to save 50% The rest go out of bounds,0
1,my whole body feels itchy and like its on fire,0
1,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there.",0
0,@Kwesidei not the whole crew,0
1,Need a hug,0
1,"@LOLTrish hey long time no see! Yes.. Rains a bit ,only a bit LOL , I'm fine thanks , how's you ?",0
1,@Tatiana_K nope they didn't have it,0
1,@twittera que me muera ?,1
1,spring break in plain city... it's snowing,0
1,I just re-pierced my ears,0
0,@caregiving I couldn't bear to watch it. And I thought the UA loss was embarrassing . . . . .,0
0,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore",0
0,"@smarrison i would've been the first, but i didn't have a gun. not really though, zac snyder's just a doucheclown.",1
1,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki how was the premiere?!,0
1,Hollis' death scene will hurt me severely to watch on film wry is directors cut not out now?,1
0,about to file taxes,0
1,@LettyA ahh ive always wanted to see rent love the soundtrack!!,0
1,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks?,0
0,@alydesigns i was out most of the day so didn't get much done,0
1,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh*",0
1,@angry_barista I baked you a cake but I ated it,0
0,this week is not going as i had hoped,1
1,blagh class at 8 tomorrow,0
1,I hate when I have to call and wake people up,0
1,Just going to cry myself to sleep after watching Marley and Me.,1
0,im sad now Miss.Lilly,1
1,ooooh.... LOL that leslie.... and ok I won't do it again so leslie won't get mad again,0
0,Meh... Almost Lover is the exception... this track gets me depressed every time.,1
0,some1 hacked my account on aim now i have to make a new one,0
0,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there I may b going to the one in Anaheim in May though,0
1,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon!,1
0,@julieebaby awe i love you too!!!! 1 am here i miss you,0
1,@HumpNinja I cry my asian eyes to sleep at night,1
1,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now,0
1,@cocomix04 ill tell ya the story later not a good day and ill be workin for like three more hours...,1
1,@MissXu sorry! bed time came here (GMT+1) http://is.gd/fNge,0
1,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases.,1
